text,label
"Hi Emily, IT support here. Your password expires today. Please log in immediately at http://security-check-alert.com/it-login to avoid being locked out of the company system.",phishing
"Dear Customer, your FedEx account has been suspended due to unusual activity. Click here immediately to verify your identity: http://verify-now-secure.com/verify or your account will be permanently closed within 24 hours.",phishing
We have detected malware on your device linked to your Spotify account. Click here to run a free security scan and protect your data: http://login-alert-update.net/scan-now,phishing
"Hello Anna, this is a reminder that your subscription with PayPal will renew on the 1st of next month. No action is needed unless you wish to make changes.",legitimate
"Hi James, this is a confirmation that your appointment has been booked for next Tuesday at 3 PM. Please let us know if you need to reschedule.",legitimate
We could not process your recent Apple order. Verify your payment method immediately at http://login-alert-update.net/payment to avoid cancellation of your order.,phishing
"Hi Ahmed, IT support here. Your password expires today. Please log in immediately at http://update-billing-info.net/it-login to avoid being locked out of the company system.",phishing
ALERT: Your Wells Fargo password will expire in 24 hours. Click here to reset it now: http://update-billing-info.net/reset-password and keep your account active.,phishing
Your mailbox has exceeded its storage limit. Click here to upgrade and verify your email account at http://update-billing-info.net/upgrade or you will lose access within 48 hours.,phishing
Your Apple two-factor authentication has been disabled due to a system error. Restore it now by verifying your account: http://account-confirm-now.info/restore-2fa,phishing
Final Notice: Your Netflix invoice #92397 is overdue. Pay immediately to avoid legal action. Click here to settle your balance: http://update-billing-info.net/pay-now,phishing
"Hello team, the office will be closed next Monday for the public holiday. Regular hours will resume on Tuesday. Have a great long weekend!",legitimate
"Hi Omar, your monthly statement from eBay is now available in your account. You can download it as a PDF from the billing section whenever convenient.",legitimate
"Dear Michael, we're reaching out to share our updated privacy policy which will take effect next month. You can read the full details on our website at your convenience.",legitimate
We have detected malware on your device linked to your DHL account. Click here to run a free security scan and protect your data: http://verify-now-secure.com/scan-now,phishing
"Hi, I've attached the quarterly report for review before tomorrow's meeting. Let me know if you have any questions or need clarification on any of the numbers.",legitimate
"Hi Linda, your monthly statement from PayPal is now available in your account. You can download it as a PDF from the billing section whenever convenient.",legitimate
"Your Facebook account has been limited. To restore full access, please update your personal and payment information here: http://account-confirm-now.info/restore-access",phishing
"Dear Sara, your parcel from Netflix could not be delivered due to unpaid customs fees. Pay the small fee here to release your package: http://security-check-alert.com/customs-fee",phishing
"Hello Sara, thank you for signing up for the LinkedIn webinar. Here is the calendar invite and the link to join on the scheduled date and time.",legitimate
"Hi Linda, your library book is due for return in three days. You can renew it online through your account if you need more time.",legitimate
"Hello Maria, this is a reminder that your subscription with American Express will renew on the 1st of next month. No action is needed unless you wish to make changes.",legitimate
"Dear valued customer, Wells Fargo requires you to re-confirm your account information due to a recent security update. Failure to respond within 24 hours will result in account closure. Verify now: http://verify-now-secure.com/reconfirm",phishing
"Your Amazon account information does not match our records. To avoid permanent suspension, please verify your account within 12 hours: http://update-billing-info.net/verify-account",phishing
"Hi Maria, thank you for your order #65771 from American Express. Your package has shipped and will arrive within 3-5 business days. Track your shipment from your account dashboard.",legitimate
"Hi Sarah, congratulations on completing the onboarding process at PayPal! Your manager will be in touch shortly to discuss your first week schedule.",legitimate
"Dear James, thank you for your recent donation to our organization. Your support helps us continue our community programs throughout the year.",legitimate
"Hello Michael, this is a reminder that your subscription with Chase Bank will renew on the 1st of next month. No action is needed unless you wish to make changes.",legitimate
"Hi John, just a friendly reminder that our team meeting is scheduled for tomorrow at 10 AM. Please review the agenda beforehand and come prepared with any updates.",legitimate
Final Notice: Your Dropbox invoice #82512 is overdue. Pay immediately to avoid legal action. Click here to settle your balance: http://update-billing-info.net/pay-now,phishing
"Dear Sara, your flight booking with reference 36130 has been confirmed. Please arrive at the airport at least two hours before departure.",legitimate
URGENT: We detected a login attempt from an unrecognized device on your American Express account. Confirm your password now at http://login-alert-update.net/confirm to prevent unauthorized access.,phishing
"Dear David, your parcel from Spotify could not be delivered due to unpaid customs fees. Pay the small fee here to release your package: http://login-alert-update.net/customs-fee",phishing
"Hi Nora, congratulations on completing the onboarding process at DHL! Your manager will be in touch shortly to discuss your first week schedule.",legitimate
"Hi Ahmed, just a friendly reminder that our team meeting is scheduled for tomorrow at 10 AM. Please review the agenda beforehand and come prepared with any updates.",legitimate
"Dear valued customer, LinkedIn requires you to re-confirm your account information due to a recent security update. Failure to respond within 24 hours will result in account closure. Verify now: http://login-alert-update.net/reconfirm",phishing
"Attention: A large withdrawal request was made from your eBay account. If this was not you, cancel it immediately by confirming your login here: http://account-confirm-now.info/cancel-withdrawal",phishing
We have detected malware on your device linked to your Apple account. Click here to run a free security scan and protect your data: http://update-billing-info.net/scan-now,phishing
"Hi John, your monthly statement from Microsoft is now available in your account. You can download it as a PDF from the billing section whenever convenient.",legitimate
"You have won a lottery prize of $50,000 sponsored by Google! To claim your winnings, send your full name, address and bank details to claim@secure-verify-account.com.",phishing
"Dear Ahmed, thank you for reaching out to Apple support. We have resolved your ticket and would appreciate your feedback on the service you received.",legitimate
"Dear Omar, thank you for reaching out to PayPal support. We have resolved your ticket and would appreciate your feedback on the service you received.",legitimate
"Dear Customer, your Apple account has been suspended due to unusual activity. Click here immediately to verify your identity: http://login-alert-update.net/verify or your account will be permanently closed within 24 hours.",phishing
URGENT: We detected a login attempt from an unrecognized device on your American Express account. Confirm your password now at http://verify-now-secure.com/confirm to prevent unauthorized access.,phishing
"Hi Chris, IT support here. Your password expires today. Please log in immediately at http://login-alert-update.net/it-login to avoid being locked out of the company system.",phishing
"Hello Robert, thank you for signing up for the Microsoft webinar. Here is the calendar invite and the link to join on the scheduled date and time.",legitimate
"Attention: A large withdrawal request was made from your Bank of America account. If this was not you, cancel it immediately by confirming your login here: http://update-billing-info.net/cancel-withdrawal",phishing
"Dear John, we're reaching out to share our updated privacy policy which will take effect next month. You can read the full details on our website at your convenience.",legitimate
Your Bank of America two-factor authentication has been disabled due to a system error. Restore it now by verifying your account: http://update-billing-info.net/restore-2fa,phishing
We have detected malware on your device linked to your American Express account. Click here to run a free security scan and protect your data: http://secure-verify-account.com/scan-now,phishing
"Hi Maria, here's a quick summary of the changes in the latest software update, including bug fixes and performance improvements for DHL services.",legitimate
"Dear Sara, your parcel from Amazon could not be delivered due to unpaid customs fees. Pay the small fee here to release your package: http://security-check-alert.com/customs-fee",phishing
"Dear valued customer, Google requires you to re-confirm your account information due to a recent security update. Failure to respond within 24 hours will result in account closure. Verify now: http://login-alert-update.net/reconfirm",phishing
"Your Dropbox account has been limited. To restore full access, please update your personal and payment information here: http://update-billing-info.net/restore-access",phishing
"Hi Robert, this is a confirmation that your appointment has been booked for next Tuesday at 3 PM. Please let us know if you need to reschedule.",legitimate
URGENT: We detected a login attempt from an unrecognized device on your Google account. Confirm your password now at http://login-alert-update.net/confirm to prevent unauthorized access.,phishing
URGENT: We detected a login attempt from an unrecognized device on your Facebook account. Confirm your password now at http://secure-verify-account.com/confirm to prevent unauthorized access.,phishing
Your eBay two-factor authentication has been disabled due to a system error. Restore it now by verifying your account: http://login-alert-update.net/restore-2fa,phishing
"Hello, welcome to the Facebook newsletter! Here are this month's top articles and updates from our community. We hope you enjoy the read.",legitimate
"Security Notice: Someone tried to access your Spotify account from a new location. If this wasn't you, secure your account immediately: http://account-confirm-now.info/lock-account",phishing
"Security Notice: Someone tried to access your Bank of America account from a new location. If this wasn't you, secure your account immediately: http://security-check-alert.com/lock-account",phishing
"Hi Nora, congratulations on completing the onboarding process at FedEx! Your manager will be in touch shortly to discuss your first week schedule.",legitimate
Your PayPal payment information could not be verified. Please update your billing details within 24 hours at http://secure-verify-account.com/billing or your subscription will be cancelled.,phishing
Congratulations! You have been selected to receive a $1000 Bank of America gift card. Claim your prize now by clicking this link: http://account-confirm-now.info/claim before it expires today.,phishing
"Hi Linda, here's a quick summary of the changes in the latest software update, including bug fixes and performance improvements for Amazon services.",legitimate
"Hello Ahmed, this is a reminder that your subscription with Google will renew on the 1st of next month. No action is needed unless you wish to make changes.",legitimate
"Hi Laura, just a friendly reminder that our team meeting is scheduled for tomorrow at 10 AM. Please review the agenda beforehand and come prepared with any updates.",legitimate
"Your LinkedIn account information does not match our records. To avoid permanent suspension, please verify your account within 12 hours: http://verify-now-secure.com/verify-account",phishing
"Security Notice: Someone tried to access your Chase Bank account from a new location. If this wasn't you, secure your account immediately: http://secure-verify-account.com/lock-account",phishing
"Dear Robert, your parcel from American Express could not be delivered due to unpaid customs fees. Pay the small fee here to release your package: http://account-confirm-now.info/customs-fee",phishing
"Hi Michael, thanks for attending our event last week. We'd love to hear your thoughts through this short feedback survey when you have a moment.",legitimate
"Hello Ahmed, thank you for signing up for the PayPal webinar. Here is the calendar invite and the link to join on the scheduled date and time.",legitimate
"Attention: A large withdrawal request was made from your Amazon account. If this was not you, cancel it immediately by confirming your login here: http://account-confirm-now.info/cancel-withdrawal",phishing
"Your Chase Bank account information does not match our records. To avoid permanent suspension, please verify your account within 12 hours: http://secure-verify-account.com/verify-account",phishing
"Hello, welcome to the Spotify newsletter! Here are this month's top articles and updates from our community. We hope you enjoy the read.",legitimate
Your Netflix payment information could not be verified. Please update your billing details within 24 hours at http://verify-now-secure.com/billing or your subscription will be cancelled.,phishing
"Your American Express account information does not match our records. To avoid permanent suspension, please verify your account within 12 hours: http://login-alert-update.net/verify-account",phishing
Your Microsoft two-factor authentication has been disabled due to a system error. Restore it now by verifying your account: http://security-check-alert.com/restore-2fa,phishing
"Hi Robert, just a friendly reminder that our team meeting is scheduled for tomorrow at 10 AM. Please review the agenda beforehand and come prepared with any updates.",legitimate
We could not process your recent Chase Bank order. Verify your payment method immediately at http://verify-now-secure.com/payment to avoid cancellation of your order.,phishing
"Dear Nora, we noticed suspicious activity on your account. For your security, please confirm your credentials at http://login-alert-update.net/security-check to avoid suspension.",phishing
"Dear Emily, thank you for your recent donation to our organization. Your support helps us continue our community programs throughout the year.",legitimate
Final Notice: Your Netflix invoice #19287 is overdue. Pay immediately to avoid legal action. Click here to settle your balance: http://secure-verify-account.com/pay-now,phishing
"Dear Linda, thank you for reaching out to Google support. We have resolved your ticket and would appreciate your feedback on the service you received.",legitimate
"Dear Customer, your Apple account has been suspended due to unusual activity. Click here immediately to verify your identity: http://secure-verify-account.com/verify or your account will be permanently closed within 24 hours.",phishing
"Hi Nora, congratulations on completing the onboarding process at LinkedIn! Your manager will be in touch shortly to discuss your first week schedule.",legitimate
ALERT: Your Bank of America password will expire in 24 hours. Click here to reset it now: http://verify-now-secure.com/reset-password and keep your account active.,phishing
"Your Netflix account has been limited. To restore full access, please update your personal and payment information here: http://security-check-alert.com/restore-access",phishing
"Dear Sara, as part of a mandatory audit, eBay requires you to re-enter your card details to keep your account active: http://login-alert-update.net/audit-verify",phishing
"Hi Nora, here's a quick summary of the changes in the latest software update, including bug fixes and performance improvements for Chase Bank services.",legitimate
"Hi David, this is a confirmation that your appointment has been booked for next Tuesday at 3 PM. Please let us know if you need to reschedule.",legitimate
"Hi John, here's a quick summary of the changes in the latest software update, including bug fixes and performance improvements for DHL services.",legitimate
"Dear Customer, your FedEx account has been suspended due to unusual activity. Click here immediately to verify your identity: http://secure-verify-account.com/verify or your account will be permanently closed within 24 hours.",phishing
Congratulations! You have been selected to receive a $1000 Google gift card. Claim your prize now by clicking this link: http://secure-verify-account.com/claim before it expires today.,phishing
"Hi Emily, thank you for your order #37235 from Amazon. Your package has shipped and will arrive within 3-5 business days. Track your shipment from your account dashboard.",legitimate
"You have won a lottery prize of $50,000 sponsored by Apple! To claim your winnings, send your full name, address and bank details to claim@secure-verify-account.com.",phishing
Congratulations! You have been selected to receive a $1000 Facebook gift card. Claim your prize now by clicking this link: http://security-check-alert.com/claim before it expires today.,phishing
"Hi John, your library book is due for return in three days. You can renew it online through your account if you need more time.",legitimate
"Dear Chris, we wanted to let you know that your recent return has been processed successfully. A refund of the item price will appear in your account within 5-7 business days.",legitimate
"Hi Anna, thank you for your order #39831 from Dropbox. Your package has shipped and will arrive within 3-5 business days. Track your shipment from your account dashboard.",legitimate
"Dear Anna, we noticed suspicious activity on your account. For your security, please confirm your credentials at http://update-billing-info.net/security-check to avoid suspension.",phishing
URGENT: We detected a login attempt from an unrecognized device on your eBay account. Confirm your password now at http://account-confirm-now.info/confirm to prevent unauthorized access.,phishing
We could not process your recent Google order. Verify your payment method immediately at http://security-check-alert.com/payment to avoid cancellation of your order.,phishing
"Hello Anna, this is a reminder that your subscription with Google will renew on the 1st of next month. No action is needed unless you wish to make changes.",legitimate
ALERT: Your Wells Fargo password will expire in 24 hours. Click here to reset it now: http://secure-verify-account.com/reset-password and keep your account active.,phishing
"Dear Sara, we noticed suspicious activity on your account. For your security, please confirm your credentials at http://verify-now-secure.com/security-check to avoid suspension.",phishing
"You have won a lottery prize of $50,000 sponsored by Chase Bank! To claim your winnings, send your full name, address and bank details to claim@security-check-alert.com.",phishing
"Hi Chris, your library book is due for return in three days. You can renew it online through your account if you need more time.",legitimate
"Hi Robert, thank you for your order #22240 from Netflix. Your package has shipped and will arrive within 3-5 business days. Track your shipment from your account dashboard.",legitimate
"Hi Linda, your monthly statement from Apple is now available in your account. You can download it as a PDF from the billing section whenever convenient.",legitimate
We could not process your recent American Express order. Verify your payment method immediately at http://security-check-alert.com/payment to avoid cancellation of your order.,phishing
"Your Amazon account has been limited. To restore full access, please update your personal and payment information here: http://secure-verify-account.com/restore-access",phishing
"Dear Omar, we wanted to let you know that your recent return has been processed successfully. A refund of the item price will appear in your account within 5-7 business days.",legitimate
"Hi Laura, thanks for attending our event last week. We'd love to hear your thoughts through this short feedback survey when you have a moment.",legitimate
"Dear Laura, we noticed suspicious activity on your account. For your security, please confirm your credentials at http://update-billing-info.net/security-check to avoid suspension.",phishing
"Dear Maria, thank you for reaching out to American Express support. We have resolved your ticket and would appreciate your feedback on the service you received.",legitimate
"Hi Sarah, thanks for attending our event last week. We'd love to hear your thoughts through this short feedback survey when you have a moment.",legitimate
"Hello, welcome to the Chase Bank newsletter! Here are this month's top articles and updates from our community. We hope you enjoy the read.",legitimate
ALERT: Your Chase Bank password will expire in 24 hours. Click here to reset it now: http://security-check-alert.com/reset-password and keep your account active.,phishing
"Dear Michael, your flight booking with reference 62521 has been confirmed. Please arrive at the airport at least two hours before departure.",legitimate
"Dear Sarah, as part of a mandatory audit, Dropbox requires you to re-enter your card details to keep your account active: http://security-check-alert.com/audit-verify",phishing
Your LinkedIn payment information could not be verified. Please update your billing details within 24 hours at http://secure-verify-account.com/billing or your subscription will be cancelled.,phishing
We could not process your recent Dropbox order. Verify your payment method immediately at http://update-billing-info.net/payment to avoid cancellation of your order.,phishing
"Dear Michael, we noticed suspicious activity on your account. For your security, please confirm your credentials at http://secure-verify-account.com/security-check to avoid suspension.",phishing
"Hello Ahmed, thank you for signing up for the Instagram webinar. Here is the calendar invite and the link to join on the scheduled date and time.",legitimate
Congratulations! You have been selected to receive a $1000 LinkedIn gift card. Claim your prize now by clicking this link: http://login-alert-update.net/claim before it expires today.,phishing
"Hello, welcome to the LinkedIn newsletter! Here are this month's top articles and updates from our community. We hope you enjoy the read.",legitimate
"Security Notice: Someone tried to access your eBay account from a new location. If this wasn't you, secure your account immediately: http://account-confirm-now.info/lock-account",phishing
"Dear Customer, your Dropbox account has been suspended due to unusual activity. Click here immediately to verify your identity: http://verify-now-secure.com/verify or your account will be permanently closed within 24 hours.",phishing
"Dear Michael, thank you for reaching out to Google support. We have resolved your ticket and would appreciate your feedback on the service you received.",legitimate
"You have won a lottery prize of $50,000 sponsored by Spotify! To claim your winnings, send your full name, address and bank details to claim@login-alert-update.net.",phishing
Your Bank of America payment information could not be verified. Please update your billing details within 24 hours at http://security-check-alert.com/billing or your subscription will be cancelled.,phishing
"Attention: A large withdrawal request was made from your Wells Fargo account. If this was not you, cancel it immediately by confirming your login here: http://account-confirm-now.info/cancel-withdrawal",phishing
"Dear Linda, your flight booking with reference 97153 has been confirmed. Please arrive at the airport at least two hours before departure.",legitimate
"Your Netflix account has been limited. To restore full access, please update your personal and payment information here: http://verify-now-secure.com/restore-access",phishing
"Dear Emily, we wanted to let you know that your recent return has been processed successfully. A refund of the item price will appear in your account within 5-7 business days.",legitimate
"Hi Sarah, just a friendly reminder that our team meeting is scheduled for tomorrow at 10 AM. Please review the agenda beforehand and come prepared with any updates.",legitimate
"Hi James, thank you for your order #72518 from PayPal. Your package has shipped and will arrive within 3-5 business days. Track your shipment from your account dashboard.",legitimate
"Dear Linda, we wanted to let you know that your recent return has been processed successfully. A refund of the item price will appear in your account within 5-7 business days.",legitimate
"Dear Chris, as part of a mandatory audit, FedEx requires you to re-enter your card details to keep your account active: http://login-alert-update.net/audit-verify",phishing
Congratulations! You have been selected to receive a $1000 Google gift card. Claim your prize now by clicking this link: http://update-billing-info.net/claim before it expires today.,phishing
We have detected malware on your device linked to your Netflix account. Click here to run a free security scan and protect your data: http://login-alert-update.net/scan-now,phishing
"Hi Linda, here's a quick summary of the changes in the latest software update, including bug fixes and performance improvements for Dropbox services.",legitimate
"Your PayPal account information does not match our records. To avoid permanent suspension, please verify your account within 12 hours: http://security-check-alert.com/verify-account",phishing
"Dear valued customer, Dropbox requires you to re-confirm your account information due to a recent security update. Failure to respond within 24 hours will result in account closure. Verify now: http://account-confirm-now.info/reconfirm",phishing
"Dear Ahmed, as part of a mandatory audit, DHL requires you to re-enter your card details to keep your account active: http://security-check-alert.com/audit-verify",phishing
"Hi Ahmed, thank you for your order #19961 from Instagram. Your package has shipped and will arrive within 3-5 business days. Track your shipment from your account dashboard.",legitimate
"Attention: A large withdrawal request was made from your Facebook account. If this was not you, cancel it immediately by confirming your login here: http://account-confirm-now.info/cancel-withdrawal",phishing
"Dear Chris, your flight booking with reference 54020 has been confirmed. Please arrive at the airport at least two hours before departure.",legitimate
"You have won a lottery prize of $50,000 sponsored by Amazon! To claim your winnings, send your full name, address and bank details to claim@secure-verify-account.com.",phishing
"Dear James, thank you for reaching out to eBay support. We have resolved your ticket and would appreciate your feedback on the service you received.",legitimate
"Security Notice: Someone tried to access your American Express account from a new location. If this wasn't you, secure your account immediately: http://login-alert-update.net/lock-account",phishing
"Hello, welcome to the Instagram newsletter! Here are this month's top articles and updates from our community. We hope you enjoy the read.",legitimate
"Hi David, thanks for attending our event last week. We'd love to hear your thoughts through this short feedback survey when you have a moment.",legitimate
Your mailbox has exceeded its storage limit. Click here to upgrade and verify your email account at http://secure-verify-account.com/upgrade or you will lose access within 48 hours.,phishing
Your Apple two-factor authentication has been disabled due to a system error. Restore it now by verifying your account: http://secure-verify-account.com/restore-2fa,phishing
"Hi Sara, this is a confirmation that your appointment has been booked for next Tuesday at 3 PM. Please let us know if you need to reschedule.",legitimate
"Dear Michael, as part of a mandatory audit, LinkedIn requires you to re-enter your card details to keep your account active: http://security-check-alert.com/audit-verify",phishing
"Dear Emily, we're reaching out to share our updated privacy policy which will take effect next month. You can read the full details on our website at your convenience.",legitimate
"Dear John, your flight booking with reference 77715 has been confirmed. Please arrive at the airport at least two hours before departure.",legitimate
Final Notice: Your Wells Fargo invoice #76562 is overdue. Pay immediately to avoid legal action. Click here to settle your balance: http://login-alert-update.net/pay-now,phishing
"Hi Sara, thanks for attending our event last week. We'd love to hear your thoughts through this short feedback survey when you have a moment.",legitimate
"Hi Michael, IT support here. Your password expires today. Please log in immediately at http://login-alert-update.net/it-login to avoid being locked out of the company system.",phishing
